sample_id,a_d1_mean,a_d1_sd,a_d2_mean,a_d2_sd,a_d3_mean,a_d3_sd,a_d4_mean,a_d4_sd,d_mean,raw_p
40,0.7048238515853882,0.44128409028053284,-1.0207483768463135,0.45776957273483276,-2.7190163135528564,0.35673198103904724,-1.4241070747375488,0.3462485074996948,-4.872393608093262,0.13333333333333333
42,0.22673632204532623,0.6869927644729614,0.04645099118351936,0.6243038177490234,-0.518165647983551,0.5999313592910767,-1.2408292293548584,0.6419205069541931,4.8271965980529785,0.9916666666666667
43,0.840230405330658,0.3032217025756836,-1.2365409135818481,0.3035491406917572,-0.31620460748672485,0.30605700612068176,-1.433292269706726,0.31537503004074097,0.8971306681632996,0.7166666666666667
44,0.10699980705976486,0.5410899519920349,0.4873638451099396,0.4637749493122101,-0.8984079957008362,0.46863314509391785,-1.537077784538269,0.5183432698249817,3.720334053039551,0.9583333333333334
45,-1.6267739534378052,0.37108391523361206,-1.0610318183898926,0.3493819236755371,-2.8769609928131104,0.4312427043914795,-1.8240430355072021,0.3218788504600525,-0.4732617139816284,0.5083333333333333
46,2.223276138305664,0.4772740602493286,-0.6739485859870911,0.4197070598602295,-2.195053815841675,0.4722088575363159,-1.5499476194381714,0.4512948989868164,3.0761659145355225,0.8666666666666667
47,0.5020994544029236,0.32072797417640686,0.7454275488853455,0.2955471873283386,0.7002237439155579,0.2691393196582794,-0.7423272728919983,0.3022262454032898,1.7390202283859253,0.8333333333333334
48,-0.7784922122955322,0.3003900647163391,0.14657486975193024,0.28901591897010803,0.2770051658153534,0.2908901572227478,-1.514971375465393,0.3292045593261719,1.6459074020385742,0.8083333333333333
49,0.9205098748207092,0.37179532647132874,-0.7016352415084839,0.34633612632751465,-0.31818559765815735,0.3677872121334076,-2.928264617919922,0.5015913248062134,1.7025277614593506,0.8
50,-0.8710156679153442,0.33493131399154663,0.7806490063667297,0.32041090726852417,-0.25350120663642883,0.33611780405044556,-1.6165310144424438,0.37607890367507935,2.2913401126861572,0.8666666666666667
